ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2545	"ENSG00000102119.6"	"EMD"	chrX	+	153608301	153608727	153608301	153608379	153608593	153608727	2545	77,16	491,584	180,96	468,345	197	99	0.0	0.0	0.073,0.014	0.162,0.123	-0.099
5555	"ENSG00000104904.8"	"OAZ1"	chr19	+	2271383	2271953	2271383	2271529	2271780	2271953	5555	55,54	3109,3244	208,116	1938,1561	197	99	0.0	0.0	0.009,0.008	0.051,0.036	-0.035
7423	"ENSG00000198830.6"	"HMGN2"	chr1	+	26799973	26800626	26799973	26800223	26800575	26800626	7423	201,51	3259,2125	432,287	2746,2305	197	99	0.0	0.0	0.03,0.012	0.073,0.059	-0.045
2116	"ENSG00000108654.7"	"DDX5"	chr17	-	62498279	62498667	62498279	62498341	62498556	62498667	2116	57,85	939,788	156,110	494,460	197	99	3.33066907388e-16	3.17212922596e-13	0.03,0.051	0.137,0.107	-0.082
6708	"ENSG00000168488.14"	"ATXN2L"	chr16	+	28847253	28848558	28847253	28847443	28848048	28848558	6708	323,254	93,103	574,389	45,28	197	99	3.33066907388e-16	3.17212922596e-13	0.636,0.553	0.865,0.875	-0.275
2235	"ENSG00000158864.8"	"NDUFS2"	chr1	+	161183653	161184185	161183653	161183711	161183945	161184185	2235	0,0	111,128	42,22	148,121	197	99	2.05724326463e-13	1.63276540436e-10	0.0,0.0	0.125,0.084	-0.105
449	"ENSG00000071082.6"	"RPL31"	chr2	+	101618754	101619270	101618754	101618777	101619163	101619270	449	134,28	1757,1016	38,37	3035,2285	197	99	5.66102720256e-13	3.85111593408e-10	0.037,0.014	0.006,0.008	0.018
4346	"ENSG00000160633.8"	"SAFB"	chr19	+	5667363	5667897	5667363	5667461	5667830	5667897	4346	0,0	107,151	26,12	96,69	197	99	2.46946907367e-12	1.4699514661e-09	0.0,0.0	0.12,0.08	-0.1
6037	"ENSG00000123136.10"	"DDX39A"	chr19	-	14523362	14524036	14523362	14523490	14523824	14524036	6037	0,0	150,192	24,13	122,97	197	99	9.25115539729e-12	4.89488911132e-09	0.0,0.0	0.09,0.063	-0.076
6514	"ENSG00000117410.9"	"ATP6V0B"	chr1	+	44442697	44443967	44442697	44442888	44443652	44443967	6514	100,106	374,605	183,96	274,198	197	99	1.16833209773e-11	5.56359744939e-09	0.118,0.081	0.251,0.196	-0.124
4607	"ENSG00000175197.6"	"DDIT3"	chr12	-	57911051	57911536	57911051	57911221	57911488	57911536	4607	0,0	39,44	123,75	216,169	197	99	2.42607045564e-11	1.05026795543e-08	0.0,0.0	0.222,0.182	-0.202
66	"ENSG00000110321.11"	"EIF4G2"	chr11	-	10825833	10826562	10825833	10825965	10826459	10826562	66	7,12	871,1301	50,31	750,591	197	99	3.83651999059e-11	1.52245901627e-08	0.004,0.005	0.032,0.026	-0.024
1654	"ENSG00000100650.11"	"SRSF5"	chr14	+	70235514	70235968	70235514	70235613	70235898	70235968	1654	76,38	534,485	148,99	442,364	197	99	1.39617761796e-10	5.11430601287e-08	0.067,0.038	0.144,0.12	-0.08
2328	"ENSG00000134107.4"	"BHLHE40"	chr3	+	5021646	5022093	5021646	5021716	5021985	5022093	2328	14,0	321,160	61,29	316,218	197	99	5.92949134237e-10	2.0168741266e-07	0.021,0.0	0.088,0.063	-0.065
6276	"ENSG00000117616.13"	"C1orf63"	chr1	-	25570040	25571792	25570040	25570124	25571640	25571792	6276	200,233	20,0	215,150	64,45	197	99	8.98555785334e-10	2.85261509984e-07	0.834,1.0	0.628,0.626	0.29
7496	"ENSG00000076382.12"	"SPAG5"	chr17	-	26906158	26906503	26906158	26906270	26906382	26906503	7496	18,0	246,362	53,33	328,240	197	99	1.00444619289e-09	2.98948298159e-07	0.035,0.0	0.075,0.065	-0.053
64	"ENSG00000110321.11"	"EIF4G2"	chr11	-	10821098	10821895	10821098	10821303	10821636	10821895	64	3,114	919,1005	99,67	608,491	197	99	1.54001389419e-09	4.31385068478e-07	0.002,0.054	0.076,0.064	-0.042
5966	"ENSG00000158850.10"	"B4GALT3"	chr1	-	161143394	161143839	161143394	161143517	161143648	161143839	5966	3,4	111,204	28,18	124,102	197	99	3.23425852766e-09	8.55641061595e-07	0.013,0.01	0.102,0.081	-0.08
4414	"ENSG00000175061.13"	"C17orf76-AS1"	chr17	+	16342640	16343017	16342640	16342728	16342841	16343017	4414	41,4	146,380	87,69	244,193	197	99	6.81321887797e-09	1.7076078051e-06	0.124,0.005	0.152,0.152	-0.087
6719	"ENSG00000168003.12"	"SLC3A2"	chr11	+	62652648	62653080	62652648	62652829	62652936	62653080	6719	0,0	229,118	48,26	428,311	197	99	9.45771616578e-09	2.25188221907e-06	0.0,0.0	0.053,0.04	-0.046
4202	"ENSG00000101557.10"	"USP14"	chr18	+	209970	210493	209970	210031	210385	210493	4202	16,76	396,522	77,56	279,247	197	99	6.57154316519e-08	1.42244038876e-05	0.02,0.068	0.122,0.102	-0.068
