ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2479	"ENSG00000245910.4"	"SNHG6"	chr8	-	67834848	67834960	67837671	67837883	67834558	67834627	67838612	67838633	2479	266,247	361,354	20,26	139,176	197	197	0.0	0.0	0.424,0.411	0.126,0.129	0.29
4190	"ENSG00000231500.2"	"RPS18"	chr6	+	33243741	33243843	33243952	33244044	33243573	33243660	33244167	33244287	4190	0,0	156,581	6568,12767	1002,1617	197	190	0.0	0.0	0.0,0.0	0.863,0.884	-0.873
5359	"ENSG00000117335.14"	"CD46"	chr1	+	207940357	207940540	207941123	207941168	207932983	207933069	207943665	207943707	5359	56,40	301,240	47,59	42,45	197	143	0.0	0.0	0.119,0.108	0.448,0.488	-0.354
5683	"ENSG00000257103.4"	"LSM14A"	chr19	+	34687538	34687668	34699833	34699956	34685382	34685546	34706500	34706566	5683	387,317	297,301	164,179	17,17	197	197	0.0	0.0	0.566,0.513	0.906,0.913	-0.37
5913	"ENSG00000142541.12"	"RPL13A"	chr19	+	49993488	49993554	49993731	49993833	49993106	49993179	49994035	49994485	5913	10,93	676,1467	1597,2863	2481,4364	164	197	0.0	0.0	0.017,0.071	0.436,0.441	-0.395
7699	"ENSG00000270800.1"	"RPS10-NUDT3"	chr6	-	34263417	34263462	34309638	34309749	34261227	34261312	34386145	34386201	7699	57,69	269,213	2,3	211,228	197	143	0.0	0.0	0.133,0.19	0.007,0.009	0.153
5501	"ENSG00000110958.11"	"PTGES3"	chr12	-	57058559	57058584	57059987	57060050	57057396	57058282	57065532	57065631	5501	38,12	998,815	90,86	740,731	161	123	1.22124532709e-15	1.16245108777e-12	0.028,0.011	0.085,0.082	-0.064
5733	"ENSG00000234741.3"	"GAS5"	chr1	-	173833812	173833842	173834366	173834420	173833394	173833442	173834647	173834685	5733	216,478	3,0	605,447	61,44	152	128	5.99520433298e-15	4.99325580883e-12	0.984,1.0	0.893,0.895	0.098
641	"ENSG00000142864.10"	"SERBP1"	chr1	-	67885691	67885869	67889882	67889960	67880848	67881022	67890570	67890660	641	719,573	930,918	407,431	215,262	176	197	1.62092561595e-14	1.20002526434e-11	0.464,0.411	0.679,0.648	-0.226
4009	"ENSG00000167088.6"	"SNRPD1"	chr18	+	19203708	19203814	19203831	19203900	19202685	19202762	19209022	19210417	4009	1215,1053	708,679	237,284	450,383	197	167	1.38666855776e-13	9.23937260035e-11	0.593,0.568	0.309,0.386	0.233
1042	"ENSG00000138326.14"	"RPS24"	chr10	+	79795109	79795175	79795268	79795478	79793640	79793662	79796951	79797062	1042	3918,1124	9826,3174	7354,9730	9477,11782	164	197	1.88737914186e-13	1.1432370202e-10	0.324,0.298	0.482,0.498	-0.179
4877	"ENSG00000255717.2"	"SNHG1"	chr11	-	62621272	62621305	62621489	62621536	62620303	62620587	62621990	62622023	4877	248,171	20,22	43,52	26,33	145	131	4.30322444345e-13	2.38936537223e-10	0.918,0.875	0.599,0.587	0.304
4262	"ENSG00000143418.15"	"CERS2"	chr1	-	150939549	150939678	150939867	150939960	150939231	150939338	150940139	150940201	4262	302,283	432,371	126,135	439,477	191	197	1.97086791331e-12	1.01014560818e-09	0.419,0.44	0.228,0.226	0.202
