ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
13393	"ENSG00000182944.13"	"EWSR1"	chr22	+	29687553	29687588	29682911	29683123	29688125	29688158	13393	158,125	69,56	109,118	3,3	133	99	0.0	0.0	0.63,0.624	0.964,0.967	-0.339
1994	"ENSG00000138069.12"	"RAB1A"	chr2	-	65316072	65316204	65315004	65315824	65325104	65325200	1994	488,841	4,0	483,361	51,26	197	99	0.0	0.0	0.984,1.0	0.826,0.875	0.141
20557	"ENSG00000073578.12"	"SDHA"	chr5	+	225459	225677	224474	224636	225997	226162	20557	308,277	146,112	163,230	1,2	197	99	0.0	0.0	0.515,0.554	0.988,0.983	-0.451
20558	"ENSG00000073578.12"	"SDHA"	chr5	+	225533	225745	224474	224636	225997	226162	20558	273,241	146,112	285,316	2,2	197	99	0.0	0.0	0.484,0.52	0.986,0.988	-0.485
2850	"ENSG00000169057.15"	"MECP2"	chrX	-	153357641	153357765	153297657	153298008	153363060	153363120	2850	167,223	2,11	141,106	54,36	197	99	0.0	0.0	0.977,0.911	0.568,0.597	0.361
31038	"ENSG00000180879.9"	"SSR4"	chrX	+	153061117	153061311	153060133	153060209	153061888	153062007	31038	68,55	286,286	3,3	330,363	197	99	0.0	0.0	0.107,0.088	0.005,0.004	0.093
34057	"ENSG00000159131.12"	"GART"	chr21	-	34903794	34903863	34903092	34903190	34904650	34904762	34057	3930,4536	0,16	2549,2427	111,70	167	99	0.0	0.0	1.0,0.994	0.932,0.954	0.054
41217	"ENSG00000255717.2"	"SNHG1"	chr11	-	62621489	62621536	62621272	62621305	62621990	62622023	41217	40,348	0,0	380,283	91,68	145	99	0.0	0.0	1.0,1.0	0.74,0.74	0.26
45895	"ENSG00000185686.13"	"PRAME"	chr22	-	22899231	22899418	22893175	22893511	22899964	22900000	45895	2489,3320	70,0	1286,1443	128,126	197	99	0.0	0.0	0.947,1.0	0.835,0.852	0.13
45907	"ENSG00000185686.13"	"PRAME"	chr22	-	22899231	22899430	22893175	22893511	22899964	22900000	45907	3047,3780	107,35	1794,1476	172,124	197	99	0.0	0.0	0.935,0.982	0.84,0.857	0.11
55676	"ENSG00000112118.13"	"MCM3"	chr6	-	52130090	52130183	52128806	52129584	52130872	52131072	55676	2,0	84,269	31,30	67,62	191	99	0.0	0.0	0.012,0.0	0.193,0.201	-0.191
