ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
10944	"ENSG00000255717.2"	"SNHG1"	chr11	-	62621272	62621536	62621272	62621305	62621990	62622023	10944	45,428	0,0	472,331	91,68	197	99	0.0	0.0	1.0,1.0	0.723,0.71	0.284
9802	"ENSG00000142676.8"	"RPL11"	chr1	+	24019098	24019249	24019101	24019249	24018268	24018319	9802	2802,1222	0,0	4014,3014	95,99	101	99	1.47659662275e-14	8.15967293732e-11	1.0,1.0	0.976,0.968	0.028
12209	"ENSG00000185686.13"	"PRAME"	chr22	-	22899231	22899430	22899231	22899350	22899964	22900000	12209	277,1	1060,1717	198,160	765,664	178	99	1.60982338571e-12	5.93058935296e-09	0.127,0.0	0.126,0.118	-0.058
9810	"ENSG00000152795.13"	"HNRNPDL"	chr4	-	83346715	83346947	83346715	83346820	83347189	83347282	9810	187,410	72,123	198,136	202,119	197	99	4.80093742539e-12	1.32649901064e-08	0.566,0.626	0.33,0.365	0.248
12199	"ENSG00000185686.13"	"PRAME"	chr22	-	22899231	22899418	22899231	22899350	22899964	22900000	12199	191,0	881,1545	114,118	553,628	166	99	3.18983395253e-10	7.05080896867e-07	0.114,0.0	0.109,0.101	-0.048
6497	"ENSG00000088833.13"	"NSFL1C"	chr20	-	1426310	1426794	1426310	1426475	1433137	1433275	6497	73,31	331,407	108,62	240,178	197	99	6.72278677172e-10	1.23833732335e-06	0.1,0.037	0.184,0.149	-0.098
15576	"ENSG00000127483.13"	"HP1BP3"	chr1	-	21076259	21076468	21076259	21076375	21083658	21083749	15576	59,67	263,297	112,82	182,137	191	99	2.77573053431e-09	4.38248198074e-06	0.104,0.105	0.242,0.237	-0.135
15248	"ENSG00000117616.13"	"C1orf63"	chr1	-	25570040	25570715	25570040	25570124	25571640	25571831	15248	124,96	20,0	111,75	64,45	197	99	1.73946222537e-07	0.000240306706435	0.757,1.0	0.466,0.456	0.418
14736	"ENSG00000163584.13"	"RPL22L1"	chr3	-	170585801	170585965	170585801	170585923	170586086	170586179	14736	0,4	35,100	22,17	61,55	140	99	2.10912809329e-07	0.000259000929856	0.0,0.028	0.203,0.179	-0.177
12210	"ENSG00000185686.13"	"PRAME"	chr22	-	22899231	22899506	22899231	22899350	22899964	22900000	12210	397,115	1213,1642	328,249	897,747	197	99	6.60103674499e-07	0.000729546581056	0.141,0.034	0.155,0.143	-0.061
15795	"ENSG00000196531.6"	"NACA"	chr12	-	57118235	57118356	57118235	57118307	57119046	57119069	15795	189,187	310,394	178,128	609,463	147	99	3.05052988203e-06	0.00306495056875	0.291,0.242	0.164,0.157	0.106
11364	"ENSG00000175197.6"	"DDIT3"	chr12	-	57911051	57911378	57911051	57911207	57911488	57911536	11364	0,22	14,16	252,189	35,24	197	99	4.79190518043e-06	0.0039301914767	0.0,0.409	0.783,0.798	-0.586
11365	"ENSG00000175197.6"	"DDIT3"	chr12	-	57911051	57911325	57911051	57911207	57911488	57911536	11365	0,22	14,16	251,188	35,24	197	99	4.97852702441e-06	0.0039301914767	0.0,0.409	0.783,0.797	-0.586
5409	"ENSG00000197746.9"	"PSAP"	chr10	-	73581632	73581770	73581632	73581764	73585593	73585650	5409	33,83	839,778	33,21	1055,794	104	99	4.92676901576e-06	0.0039301914767	0.036,0.092	0.029,0.025	0.037
11360	"ENSG00000175197.6"	"DDIT3"	chr12	-	57911051	57911378	57911051	57911221	57911488	57911536	11360	0,0	39,44	55,33	216,169	197	99	1.52450659194e-05	0.0104250244562	0.0,0.0	0.113,0.089	-0.101
126	"ENSG00000109083.9"	"IFT20"	chr17	-	26656198	26656397	26656198	26656302	26657468	26657554	126	0,0	15,80	6,7	22,26	193	99	1.41958569291e-05	0.0104250244562	0.0,0.0	0.123,0.121	-0.122
